,node_id,zero_count,spikes
0,0,469867,3.765957446808511
1,1,470000,3.6808510638297873
2,2,469373,3.6595744680851063
3,3,469527,3.617021276595745
4,4,469770,3.595744680851064
5,5,469162,3.595744680851064
6,6,467188,3.574468085106383
7,7,470000,3.5531914893617023
8,8,469112,3.5531914893617023
9,9,468936,3.5319148936170213
10,10,468325,3.4893617021276597
11,11,469369,3.4893617021276597
12,12,470000,3.4680851063829787
13,13,470000,3.4680851063829787
14,14,470000,3.4680851063829787
15,15,468728,3.4468085106382977
16,16,470000,3.4468085106382977
17,17,470000,3.4468085106382977
18,18,470000,3.4468085106382977
19,19,470000,3.425531914893617
20,20,470000,3.425531914893617
21,21,466900,3.425531914893617
22,22,469301,3.425531914893617
23,23,469279,3.425531914893617
24,24,467289,3.425531914893617
25,25,469181,3.404255319148936
26,26,470000,3.404255319148936
27,27,468485,3.404255319148936
28,28,465680,3.404255319148936
29,29,469457,3.382978723404255
30,30,469195,3.382978723404255
31,31,470000,3.382978723404255
32,32,470000,3.382978723404255
33,33,468556,3.382978723404255
34,34,470000,3.382978723404255
35,35,470000,3.382978723404255
36,36,468626,3.382978723404255
37,37,470000,3.382978723404255
38,38,470000,3.3617021276595747
39,39,470000,3.3617021276595747
40,40,470000,3.3617021276595747
41,41,470000,3.3617021276595747
42,42,470000,3.3617021276595747
43,43,468706,3.3617021276595747
44,44,468733,3.3617021276595747
45,45,470000,3.3404255319148937
46,46,470000,3.3404255319148937
47,47,469849,3.3404255319148937
48,48,470000,3.3404255319148937
49,49,467734,3.3404255319148937
50,50,470000,3.3404255319148937
51,51,470000,3.3404255319148937
52,52,470000,3.3191489361702127
53,53,470000,3.3191489361702127
54,54,470000,3.3191489361702127
55,55,470000,3.3191489361702127
56,56,468431,3.3191489361702127
57,57,470000,3.3191489361702127
58,58,469506,3.3191489361702127
59,59,470000,3.3191489361702127
60,60,469556,3.297872340425532
61,61,465720,3.297872340425532
62,62,469843,3.297872340425532
63,63,467921,3.297872340425532
64,64,468532,3.297872340425532
65,65,468369,3.297872340425532
66,66,470000,3.297872340425532
67,67,469696,3.297872340425532
68,68,470000,3.297872340425532
69,69,470000,3.297872340425532
70,70,468923,3.297872340425532
71,71,469319,3.297872340425532
72,72,467536,3.297872340425532
73,73,469531,3.297872340425532
74,74,469715,3.297872340425532
75,75,470000,3.276595744680851
76,76,469131,3.276595744680851
77,77,467535,3.276595744680851
78,78,470000,3.276595744680851
79,79,466704,3.276595744680851
80,80,469193,3.276595744680851
81,81,468752,3.25531914893617
82,82,468752,3.25531914893617
83,83,468499,3.25531914893617
84,84,469229,3.25531914893617
85,85,470000,3.25531914893617
86,86,463226,3.25531914893617
87,87,469282,3.234042553191489
88,88,469227,3.234042553191489
89,89,465924,3.234042553191489
90,90,470000,3.234042553191489
91,91,470000,3.234042553191489
92,92,468260,3.234042553191489
93,93,470000,3.234042553191489
94,94,469056,3.234042553191489
95,95,468861,3.234042553191489
96,96,470000,3.234042553191489
97,97,468339,3.2127659574468086
98,98,468402,3.2127659574468086
99,99,468353,3.2127659574468086
100,100,469126,3.2127659574468086
101,101,470000,3.2127659574468086
102,102,468369,3.2127659574468086
103,103,470000,3.2127659574468086
104,104,470000,3.2127659574468086
105,105,463929,3.2127659574468086
106,106,470000,3.2127659574468086
107,107,470000,3.2127659574468086
108,108,469402,3.2127659574468086
109,109,470000,3.2127659574468086
110,110,469090,3.1914893617021276
111,111,467794,3.1914893617021276
112,112,468608,3.1914893617021276
113,113,470000,3.1914893617021276
114,114,467453,3.1914893617021276
115,115,466077,3.1914893617021276
116,116,467282,3.1914893617021276
117,117,470000,3.1914893617021276
118,118,468714,3.1914893617021276
119,119,470000,3.1702127659574466
120,120,469496,3.1702127659574466
121,121,470000,3.1702127659574466
122,122,469476,3.1702127659574466
123,123,469787,3.1702127659574466
124,124,470000,3.1702127659574466
125,125,467552,3.1702127659574466
126,126,470000,3.1702127659574466
127,127,469397,3.1702127659574466
128,128,467705,3.1702127659574466
129,129,470000,3.1702127659574466
130,130,468417,3.1702127659574466
131,131,470000,3.1702127659574466
132,132,467902,3.1702127659574466
133,133,467127,3.1702127659574466
134,134,469022,3.148936170212766
135,135,467302,3.148936170212766
136,136,469764,3.148936170212766
137,137,470000,3.148936170212766
138,138,469274,3.148936170212766
139,139,470000,3.148936170212766
140,140,470000,3.148936170212766
141,141,470000,3.148936170212766
142,142,470000,3.148936170212766
143,143,470000,3.148936170212766
144,144,468210,3.148936170212766
145,145,468026,3.148936170212766
146,146,469855,3.127659574468085
147,147,469140,3.127659574468085
148,148,465998,3.127659574468085
149,149,465864,3.127659574468085
150,150,469477,3.127659574468085
151,151,470000,3.127659574468085
152,152,468688,3.127659574468085
153,153,465664,3.127659574468085
154,154,469444,3.127659574468085
155,155,470000,3.127659574468085
156,156,470000,3.127659574468085
157,157,470000,3.127659574468085
158,158,467021,3.106382978723404
159,159,469215,3.106382978723404
160,160,469237,3.106382978723404
161,161,470000,3.106382978723404
162,162,470000,3.106382978723404
163,163,468950,3.106382978723404
164,164,470000,3.106382978723404
165,165,469638,3.106382978723404
166,166,470000,3.106382978723404
167,167,468997,3.106382978723404
168,168,470000,3.106382978723404
169,169,468625,3.106382978723404
170,170,470000,3.106382978723404
171,171,469086,3.106382978723404
172,172,465455,3.106382978723404
173,173,470000,3.106382978723404
174,174,470000,3.0851063829787235
175,175,468093,3.0851063829787235
176,176,468007,3.0851063829787235
177,177,468163,3.0851063829787235
178,178,464092,3.0851063829787235
179,179,469299,3.0851063829787235
