,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,Winner connections,is winner?,recieves tone?,disynapses
583,584,PN Type C Cell,14,4,3,42,18,45,-27,-24,63,0,Loser,does not recieve tone,1074
584,585,PN Type C Cell,13,8,1,48,21,49,-28,-27,70,2,Winner,does not recieve tone,798
585,586,PN Type C Cell,13,2,6,41,15,47,-32,-26,62,1,Loser,recieves tone,934
586,587,PN Type C Cell,10,5,5,52,15,57,-42,-37,72,1,Loser,recieves tone,807
587,588,PN Type C Cell,12,4,5,43,16,48,-32,-27,64,2,Winner,recieves tone,985
588,589,PN Type C Cell,11,6,4,50,17,54,-37,-33,71,1,Loser,recieves tone,861
589,590,PN Type C Cell,7,6,4,44,13,48,-35,-31,61,1,Loser,recieves tone,987
590,591,PN Type C Cell,7,3,2,49,10,51,-41,-39,61,2,Loser,recieves tone,844
591,592,PN Type C Cell,9,5,4,53,14,57,-43,-39,71,2,Loser,recieves tone,982
592,593,PN Type C Cell,17,4,5,43,21,48,-27,-22,69,2,Loser,recieves tone,1054
593,594,PN Type C Cell,10,3,3,47,13,50,-37,-34,63,1,Loser,does not recieve tone,829
594,595,PN Type C Cell,13,2,2,51,15,53,-38,-36,68,1,Loser,recieves tone,920
595,596,PN Type C Cell,15,10,3,45,25,48,-23,-20,73,5,Winner,recieves tone,958
596,597,PN Type C Cell,10,5,3,42,15,45,-30,-27,60,1,Winner,recieves tone,880
597,598,PN Type C Cell,8,6,1,39,14,40,-26,-25,54,3,Winner,recieves tone,845
598,599,PN Type C Cell,6,5,5,37,11,42,-31,-26,53,1,Loser,recieves tone,749
599,600,PN Type C Cell,12,6,1,45,18,46,-28,-27,64,3,Winner,recieves tone,726
600,601,PN Type C Cell,10,6,6,34,16,40,-24,-18,56,0,Winner,does not recieve tone,901
601,602,PN Type C Cell,9,4,2,54,13,56,-43,-41,69,0,Loser,does not recieve tone,643
602,603,PN Type C Cell,6,8,3,43,14,46,-32,-29,60,1,Winner,recieves tone,1056
603,604,PN Type C Cell,7,0,2,51,7,53,-46,-44,60,0,Loser,recieves tone,837
604,605,PN Type C Cell,6,9,4,43,15,47,-32,-28,62,2,Winner,recieves tone,993
605,606,PN Type C Cell,12,5,4,53,17,57,-40,-36,74,1,Winner,recieves tone,844
606,607,PN Type C Cell,10,1,2,48,11,50,-39,-37,61,0,Loser,recieves tone,1059
607,608,PN Type C Cell,7,3,4,40,10,44,-34,-30,54,0,Loser,recieves tone,937
608,609,PN Type C Cell,6,3,2,50,9,52,-43,-41,61,0,Loser,does not recieve tone,753
609,610,PN Type C Cell,16,3,5,48,19,53,-34,-29,72,0,Loser,recieves tone,959
610,611,PN Type C Cell,14,4,2,43,18,45,-27,-25,63,1,Loser,does not recieve tone,908
611,612,PN Type C Cell,10,8,4,50,18,54,-36,-32,72,4,Loser,recieves tone,839
612,613,PN Type C Cell,8,5,3,48,13,51,-38,-35,64,1,Loser,recieves tone,983
613,614,PN Type C Cell,7,3,5,33,10,38,-28,-23,48,0,Loser,does not recieve tone,973
614,615,PN Type C Cell,9,5,8,44,14,52,-38,-30,66,1,Loser,recieves tone,626
615,616,PN Type C Cell,12,6,4,42,18,46,-28,-24,64,3,Winner,recieves tone,858
616,617,PN Type C Cell,15,5,6,39,20,45,-25,-19,65,2,Loser,does not recieve tone,816
617,618,PN Type C Cell,11,3,3,37,14,40,-26,-23,54,1,Loser,recieves tone,721
618,619,PN Type C Cell,10,1,0,39,11,39,-28,-28,50,1,Loser,does not recieve tone,711
619,620,PN Type C Cell,11,4,2,45,15,47,-32,-30,62,0,Loser,does not recieve tone,737
620,621,PN Type C Cell,7,4,5,55,11,60,-49,-44,71,1,Loser,does not recieve tone,870
621,622,PN Type C Cell,9,4,3,40,13,43,-30,-27,56,1,Winner,recieves tone,1085
622,623,PN Type C Cell,6,1,1,43,7,44,-37,-36,51,0,Loser,does not recieve tone,750
623,624,PN Type C Cell,7,7,2,50,14,52,-38,-36,66,2,Loser,recieves tone,828
624,625,PN Type C Cell,4,4,3,50,8,53,-45,-42,61,2,Loser,recieves tone,950
625,626,PN Type C Cell,8,4,2,50,12,52,-40,-38,64,0,Loser,recieves tone,977
626,627,PN Type C Cell,8,4,4,43,12,47,-35,-31,59,1,Loser,recieves tone,954
627,628,PN Type C Cell,15,2,3,56,17,59,-42,-39,76,1,Loser,recieves tone,855
628,629,PN Type C Cell,11,5,2,47,16,49,-33,-31,65,2,Winner,recieves tone,1087
629,630,PN Type C Cell,16,5,3,41,21,44,-23,-20,65,1,Loser,recieves tone,947
630,631,PN Type C Cell,18,2,4,51,20,55,-35,-31,75,1,Loser,recieves tone,764
631,632,PN Type C Cell,13,2,3,38,15,41,-26,-23,56,0,Loser,recieves tone,974
632,633,PN Type C Cell,8,8,0,42,16,42,-26,-26,58,3,Winner,recieves tone,757
633,634,PN Type C Cell,10,3,1,44,13,45,-32,-31,58,1,Loser,recieves tone,836
634,635,PN Type C Cell,14,3,0,45,17,45,-28,-28,62,1,Loser,recieves tone,849
635,636,PN Type C Cell,11,6,3,44,17,47,-30,-27,64,1,Loser,recieves tone,883
636,637,PN Type C Cell,12,3,3,43,15,46,-31,-28,61,1,Winner,does not recieve tone,858
637,638,PN Type C Cell,9,5,1,45,14,46,-32,-31,60,3,Loser,recieves tone,861
638,639,PN Type C Cell,15,8,2,52,23,54,-31,-29,77,2,Loser,recieves tone,911
639,640,PN Type C Cell,12,4,3,51,16,54,-38,-35,70,1,Loser,recieves tone,969
640,641,PN Type C Cell,16,7,4,44,23,48,-25,-21,71,1,Loser,does not recieve tone,1023
641,642,PN Type C Cell,10,2,5,43,12,48,-36,-31,60,2,Loser,recieves tone,843
642,643,PN Type C Cell,11,0,4,42,11,46,-35,-31,57,0,Loser,recieves tone,816
643,644,PN Type C Cell,9,0,2,32,9,34,-25,-23,43,0,Loser,does not recieve tone,809
644,645,PN Type C Cell,15,3,1,43,18,44,-26,-25,62,1,Loser,does not recieve tone,642
645,646,PN Type C Cell,10,8,0,47,18,47,-29,-29,65,3,Loser,does not recieve tone,847
646,647,PN Type C Cell,10,5,5,49,15,54,-39,-34,69,2,Loser,recieves tone,890
647,648,PN Type C Cell,7,4,2,36,11,38,-27,-25,49,1,Loser,recieves tone,931
648,649,PN Type C Cell,14,5,1,52,19,53,-34,-33,72,0,Loser,recieves tone,700
649,650,PN Type C Cell,13,4,3,48,17,51,-34,-31,68,0,Loser,recieves tone,968
650,651,PN Type C Cell,5,2,4,42,7,46,-39,-35,53,0,Loser,recieves tone,1001
651,652,PN Type C Cell,15,9,4,47,24,51,-27,-23,75,1,Loser,recieves tone,807
652,653,PN Type C Cell,13,3,6,54,16,60,-44,-38,76,2,Loser,recieves tone,971
653,654,PN Type C Cell,9,6,4,39,15,43,-28,-24,58,0,Winner,does not recieve tone,1062
654,655,PN Type C Cell,5,6,2,37,11,39,-28,-26,50,2,Loser,does not recieve tone,754
655,656,PN Type C Cell,13,6,5,43,19,48,-29,-24,67,1,Winner,recieves tone,687
656,657,PN Type C Cell,8,3,2,49,11,51,-40,-38,62,0,Loser,recieves tone,852
657,658,PN Type C Cell,8,2,2,48,10,50,-40,-38,60,1,Loser,recieves tone,953
658,659,PN Type C Cell,13,2,5,34,15,39,-24,-19,54,0,Loser,recieves tone,951
659,660,PN Type C Cell,11,5,2,46,16,48,-32,-30,64,0,Loser,recieves tone,645
660,661,PN Type C Cell,8,4,3,44,12,47,-35,-32,59,2,Loser,does not recieve tone,921
661,662,PN Type C Cell,7,2,4,42,9,46,-37,-33,55,0,Loser,recieves tone,839
662,663,PN Type C Cell,13,3,0,38,16,38,-22,-22,54,1,Loser,recieves tone,829
663,664,PN Type C Cell,15,6,2,49,21,51,-30,-28,72,1,Winner,recieves tone,750
664,665,PN Type C Cell,11,3,2,49,14,51,-37,-35,65,0,Loser,recieves tone,967
665,666,PN Type C Cell,6,6,3,48,12,51,-39,-36,63,2,Loser,recieves tone,936
666,667,PN Type C Cell,8,3,5,51,11,56,-45,-40,67,1,Loser,does not recieve tone,940
667,668,PN Type C Cell,15,5,6,50,20,56,-36,-30,76,0,Loser,recieves tone,984
668,669,PN Type C Cell,9,4,0,54,13,54,-41,-41,67,1,Loser,recieves tone,994
669,670,PN Type C Cell,12,4,3,47,16,50,-34,-31,66,1,Loser,does not recieve tone,1054
670,671,PN Type C Cell,10,2,10,42,12,52,-40,-30,64,0,Loser,does not recieve tone,957
671,672,PN Type C Cell,16,4,2,41,20,43,-23,-21,63,3,Winner,recieves tone,801
672,673,PN Type C Cell,10,3,6,54,13,60,-47,-41,73,0,Loser,recieves tone,803
673,674,PN Type C Cell,10,6,7,41,16,48,-32,-25,64,3,Loser,recieves tone,1095
674,675,PN Type C Cell,10,9,1,41,19,42,-23,-22,61,3,Winner,recieves tone,777
675,676,PN Type C Cell,11,5,3,49,16,52,-36,-33,68,2,Loser,recieves tone,774
676,677,PN Type C Cell,8,3,4,45,11,49,-38,-34,60,1,Loser,recieves tone,956
677,678,PN Type C Cell,7,6,2,50,13,52,-39,-37,65,1,Loser,recieves tone,878
678,679,PN Type C Cell,8,2,1,53,10,54,-44,-43,64,1,Winner,does not recieve tone,983
679,680,PN Type C Cell,15,3,5,47,18,52,-34,-29,70,0,Loser,does not recieve tone,1003
680,681,PN Type C Cell,9,4,1,35,13,36,-23,-22,49,2,Loser,recieves tone,917
681,682,PN Type C Cell,6,0,3,48,6,51,-45,-42,57,0,Loser,does not recieve tone,698
682,683,PN Type C Cell,10,2,3,45,12,48,-36,-33,60,0,Loser,recieves tone,926
683,684,PN Type C Cell,12,4,2,38,16,40,-24,-22,56,1,Winner,recieves tone,894
684,685,PN Type C Cell,10,7,4,39,17,43,-26,-22,60,2,Winner,does not recieve tone,753
685,686,PN Type C Cell,14,9,2,43,23,45,-22,-20,68,3,Loser,recieves tone,752
686,687,PN Type C Cell,16,3,2,36,19,38,-19,-17,57,1,Loser,does not recieve tone,856
687,688,PN Type C Cell,10,4,4,48,14,52,-38,-34,66,3,Loser,recieves tone,730
688,689,PN Type C Cell,11,8,4,49,19,53,-34,-30,72,4,Winner,does not recieve tone,968
689,690,PN Type C Cell,15,7,3,44,22,47,-25,-22,69,2,Winner,does not recieve tone,987
690,691,PN Type C Cell,5,2,1,45,7,46,-39,-38,53,0,Loser,does not recieve tone,858
691,692,PN Type C Cell,6,4,1,39,10,40,-30,-29,50,1,Loser,recieves tone,852
692,693,PN Type C Cell,13,3,7,44,16,51,-35,-28,67,0,Loser,recieves tone,740
693,694,PN Type C Cell,13,2,5,42,15,47,-32,-27,62,1,Winner,recieves tone,902
694,695,PN Type C Cell,11,3,5,49,14,54,-40,-35,68,1,Loser,does not recieve tone,844
695,696,PN Type C Cell,16,4,5,46,20,51,-31,-26,71,1,Winner,does not recieve tone,1001
696,697,PN Type C Cell,10,4,7,44,14,51,-37,-30,65,2,Loser,recieves tone,867
697,698,PN Type C Cell,13,2,4,46,15,50,-35,-31,65,1,Loser,does not recieve tone,852
698,699,PN Type C Cell,15,5,2,48,20,50,-30,-28,70,2,Winner,recieves tone,909
699,700,PN Type C Cell,6,5,6,49,11,55,-44,-38,66,2,Loser,recieves tone,905
700,701,PN Type C Cell,16,5,4,57,21,61,-40,-36,82,0,Loser,recieves tone,999
701,702,PN Type C Cell,11,4,3,41,15,44,-29,-26,59,1,Loser,recieves tone,1089
702,703,PN Type C Cell,9,4,4,50,13,54,-41,-37,67,0,Loser,does not recieve tone,794
703,704,PN Type C Cell,12,5,1,47,17,48,-31,-30,65,3,Winner,recieves tone,961
704,705,PN Type C Cell,9,3,4,47,12,51,-39,-35,63,1,Loser,recieves tone,931
705,706,PN Type C Cell,9,6,3,39,15,42,-27,-24,57,3,Winner,recieves tone,900
706,707,PN Type C Cell,6,5,5,58,11,63,-52,-47,74,3,Loser,recieves tone,775
707,708,PN Type C Cell,12,4,4,44,16,48,-32,-28,64,2,Winner,recieves tone,1119
708,709,PN Type C Cell,12,6,2,45,18,47,-29,-27,65,1,Winner,does not recieve tone,857
709,710,PN Type C Cell,7,6,3,39,13,42,-29,-26,55,4,Loser,recieves tone,850
710,711,PN Type C Cell,14,2,0,49,16,49,-33,-33,65,0,Loser,recieves tone,737
711,712,PN Type C Cell,11,4,2,40,15,42,-27,-25,57,1,Winner,does not recieve tone,951
712,713,PN Type C Cell,4,2,4,55,6,59,-53,-49,65,1,Loser,recieves tone,779
713,714,PN Type C Cell,8,4,4,52,12,56,-44,-40,68,1,Winner,does not recieve tone,1068
714,715,PN Type C Cell,15,5,5,46,20,51,-31,-26,71,3,Loser,does not recieve tone,1033
715,716,PN Type C Cell,15,4,2,47,19,49,-30,-28,68,1,Winner,recieves tone,880
716,717,PN Type C Cell,4,5,3,43,9,46,-37,-34,55,0,Loser,recieves tone,930
717,718,PN Type C Cell,8,3,4,48,11,52,-41,-37,63,1,Loser,recieves tone,835
718,719,PN Type C Cell,9,7,4,48,16,52,-36,-32,68,3,Loser,recieves tone,938
719,720,PN Type C Cell,9,9,5,49,18,54,-36,-31,72,3,Winner,recieves tone,967
720,721,PN Type C Cell,11,3,6,50,14,56,-42,-36,70,1,Loser,recieves tone,951
721,722,PN Type C Cell,12,6,4,46,18,50,-32,-28,68,3,Winner,recieves tone,1003
722,723,PN Type C Cell,12,1,2,43,13,45,-32,-30,58,0,Loser,recieves tone,892
723,724,PN Type C Cell,6,7,2,50,13,52,-39,-37,65,2,Loser,does not recieve tone,848
724,725,PN Type C Cell,12,6,8,43,18,51,-33,-25,69,2,Loser,recieves tone,947
725,726,PN Type C Cell,9,2,3,39,11,42,-31,-28,53,0,Loser,does not recieve tone,838
726,727,PN Type C Cell,9,3,3,51,12,54,-42,-39,66,0,Loser,recieves tone,758
727,728,PN Type C Cell,7,4,5,46,11,51,-40,-35,62,3,Winner,recieves tone,965
728,729,PN Type C Cell,12,4,1,30,16,31,-15,-14,47,1,Loser,recieves tone,938
729,730,PN Type C Cell,12,3,3,39,15,42,-27,-24,57,1,Loser,recieves tone,587
730,731,PN Type C Cell,12,5,2,43,17,45,-28,-26,62,2,Winner,recieves tone,789
731,732,PN Type C Cell,19,2,2,32,21,34,-13,-11,55,1,Loser,does not recieve tone,902
732,733,PN Type C Cell,7,5,2,55,12,57,-45,-43,69,1,Loser,recieves tone,606
733,734,PN Type C Cell,12,2,3,44,14,47,-33,-30,61,0,Loser,recieves tone,1099
734,735,PN Type C Cell,8,2,1,42,10,43,-33,-32,53,2,Loser,does not recieve tone,883
735,736,PN Type C Cell,12,5,4,48,17,52,-35,-31,69,2,Winner,does not recieve tone,827
736,737,PN Type C Cell,12,2,2,46,14,48,-34,-32,62,1,Loser,recieves tone,966
737,738,PN Type C Cell,10,3,3,36,13,39,-26,-23,52,1,Winner,recieves tone,915
738,739,PN Type C Cell,13,7,5,53,20,58,-38,-33,78,3,Loser,recieves tone,702
739,740,PN Type C Cell,10,3,3,52,13,55,-42,-39,68,1,Winner,recieves tone,1012
740,741,PN Type C Cell,13,4,9,47,17,56,-39,-30,73,0,Loser,does not recieve tone,988
741,742,PN Type C Cell,11,7,5,47,18,52,-34,-29,70,1,Loser,recieves tone,941
742,743,PN Type C Cell,6,7,2,33,13,35,-22,-20,48,1,Winner,recieves tone,904
743,744,PN Type C Cell,8,2,5,45,10,50,-40,-35,60,1,Loser,recieves tone,611
744,745,PN Type C Cell,11,5,6,47,16,53,-37,-31,69,1,Winner,does not recieve tone,879
745,746,PN Type C Cell,8,7,4,42,15,46,-31,-27,61,2,Winner,does not recieve tone,923
746,747,PN Type C Cell,13,4,4,49,17,53,-36,-32,70,1,Loser,recieves tone,837
747,748,PN Type C Cell,13,7,4,48,20,52,-32,-28,72,3,Winner,does not recieve tone,928
748,749,PN Type C Cell,9,2,5,43,11,48,-37,-32,59,1,Loser,recieves tone,935
749,750,PN Type C Cell,12,5,4,46,17,50,-33,-29,67,2,Loser,recieves tone,808
750,751,PN Type C Cell,15,8,5,49,23,54,-31,-26,77,2,Loser,recieves tone,907
751,752,PN Type C Cell,17,3,2,54,20,56,-36,-34,76,1,Loser,recieves tone,961
752,753,PN Type C Cell,10,5,5,45,15,50,-35,-30,65,3,Winner,recieves tone,1069
753,754,PN Type C Cell,5,4,1,43,9,44,-35,-34,53,0,Loser,recieves tone,899
754,755,PN Type C Cell,11,4,3,42,15,45,-30,-27,60,0,Loser,recieves tone,835
755,756,PN Type C Cell,7,7,1,46,14,47,-33,-32,61,1,Loser,recieves tone,846
756,757,PN Type C Cell,10,1,3,42,11,45,-34,-31,56,0,Loser,recieves tone,898
757,758,PN Type C Cell,15,6,3,45,21,48,-27,-24,69,2,Loser,recieves tone,813
758,759,PN Type C Cell,10,4,1,41,14,42,-28,-27,56,1,Loser,recieves tone,864
759,760,PN Type C Cell,13,6,3,46,19,49,-30,-27,68,2,Winner,recieves tone,803
760,761,PN Type C Cell,8,4,4,40,12,44,-32,-28,56,1,Winner,recieves tone,885
761,762,PN Type C Cell,4,3,2,49,7,51,-44,-42,58,1,Loser,recieves tone,775
762,763,PN Type C Cell,10,5,3,38,15,41,-26,-23,56,1,Winner,recieves tone,969
763,764,PN Type C Cell,13,1,5,43,14,48,-34,-29,62,0,Loser,recieves tone,734
764,765,PN Type C Cell,16,3,2,44,19,46,-27,-25,65,0,Loser,does not recieve tone,822
765,766,PN Type C Cell,6,5,2,41,11,43,-32,-30,54,1,Loser,does not recieve tone,869
766,767,PN Type C Cell,10,5,6,51,15,57,-42,-36,72,1,Winner,does not recieve tone,760
767,768,PN Type C Cell,13,3,2,47,16,49,-33,-31,65,0,Loser,recieves tone,991
768,769,PN Type C Cell,6,7,6,50,13,56,-43,-37,69,0,Loser,does not recieve tone,916
769,770,PN Type C Cell,7,7,3,42,14,45,-31,-28,59,2,Loser,recieves tone,972
770,771,PN Type C Cell,7,1,3,46,8,49,-41,-38,57,1,Loser,recieves tone,797
771,772,PN Type C Cell,15,9,4,43,24,47,-23,-19,71,6,Winner,recieves tone,872
772,773,PN Type C Cell,21,3,0,36,24,36,-12,-12,60,1,Winner,recieves tone,876
773,774,PN Type C Cell,8,5,2,45,13,47,-34,-32,60,1,Loser,recieves tone,687
774,775,PN Type C Cell,13,3,1,41,16,42,-26,-25,58,1,Loser,recieves tone,873
775,776,PN Type C Cell,17,5,2,47,22,49,-27,-25,71,3,Winner,recieves tone,810
776,777,PN Type C Cell,10,7,2,38,17,40,-23,-21,57,1,Winner,recieves tone,920
777,778,PN Type C Cell,7,6,2,54,13,56,-43,-41,69,1,Loser,recieves tone,775
778,779,PN Type C Cell,17,2,3,42,19,45,-26,-23,64,1,Loser,recieves tone,1027
779,780,PN Type C Cell,7,3,2,42,10,44,-34,-32,54,1,Loser,recieves tone,806
780,781,PN Type C Cell,9,3,4,40,12,44,-32,-28,56,0,Loser,does not recieve tone,815
781,782,PN Type C Cell,4,6,0,44,10,44,-34,-34,54,4,Winner,does not recieve tone,796
782,783,PN Type C Cell,8,4,3,49,12,52,-40,-37,64,1,Loser,recieves tone,868
783,784,PN Type C Cell,7,3,3,44,10,47,-37,-34,57,1,Loser,recieves tone,946
784,785,PN Type C Cell,5,5,8,44,10,52,-42,-34,62,5,Loser,recieves tone,901
785,786,PN Type C Cell,8,1,5,53,9,58,-49,-44,67,0,Loser,recieves tone,856
786,787,PN Type C Cell,12,7,2,43,19,45,-26,-24,64,2,Loser,recieves tone,1030
787,788,PN Type C Cell,10,6,2,44,16,46,-30,-28,62,1,Loser,does not recieve tone,842
788,789,PN Type C Cell,9,8,6,38,17,44,-27,-21,61,5,Winner,recieves tone,858
789,790,PN Type C Cell,10,6,2,46,16,48,-32,-30,64,1,Loser,recieves tone,741
790,791,PN Type C Cell,17,6,3,36,23,39,-16,-13,62,1,Winner,does not recieve tone,926
791,792,PN Type C Cell,8,4,7,46,12,53,-41,-34,65,1,Loser,recieves tone,708
792,793,PN Type C Cell,12,3,2,50,15,52,-37,-35,67,1,Loser,recieves tone,888
793,794,PN Type C Cell,9,4,2,35,13,37,-24,-22,50,2,Loser,recieves tone,957
794,795,PN Type C Cell,10,4,1,39,14,40,-26,-25,54,0,Loser,recieves tone,642
795,796,PN Type C Cell,9,2,3,37,11,40,-29,-26,51,1,Loser,recieves tone,751
796,797,PN Type C Cell,4,5,3,44,9,47,-38,-35,56,3,Loser,recieves tone,703
797,798,PN Type C Cell,13,3,3,41,16,44,-28,-25,60,1,Loser,does not recieve tone,903
798,799,PN Type C Cell,13,3,4,46,16,50,-34,-30,66,2,Loser,recieves tone,818
799,800,PV Cell,165,78,0,18,243,18,225,225,261,25,Loser,recieves tone,896
800,801,PV Cell,164,73,0,17,237,17,220,220,254,22,Loser,recieves tone,0
801,802,PV Cell,172,62,0,16,234,16,218,218,250,24,Loser,recieves tone,0
802,803,PV Cell,201,61,0,23,262,23,239,239,285,16,Loser,does not recieve tone,0
803,804,PV Cell,177,71,0,22,248,22,226,226,270,9,Loser,recieves tone,0
804,805,PV Cell,173,81,0,13,254,13,241,241,267,22,Loser,recieves tone,0
805,806,PV Cell,189,67,0,14,256,14,242,242,270,21,Loser,recieves tone,0
806,807,PV Cell,208,64,0,19,272,19,253,253,291,21,Loser,recieves tone,0
807,808,PV Cell,168,67,0,19,235,19,216,216,254,19,Loser,recieves tone,0
808,809,PV Cell,167,66,0,20,233,20,213,213,253,16,Loser,recieves tone,0
809,810,PV Cell,184,79,0,15,263,15,248,248,278,24,Loser,does not recieve tone,0
810,811,PV Cell,170,70,0,18,240,18,222,222,258,19,Loser,recieves tone,0
811,812,PV Cell,173,72,0,17,245,17,228,228,262,27,Loser,recieves tone,0
812,813,PV Cell,177,66,0,17,243,17,226,226,260,20,Loser,does not recieve tone,0
813,814,PV Cell,194,54,0,24,248,24,224,224,272,17,Loser,recieves tone,0
814,815,PV Cell,169,90,0,13,259,13,246,246,272,15,Loser,recieves tone,0
815,816,PV Cell,173,63,0,19,236,19,217,217,255,17,Loser,recieves tone,0
816,817,PV Cell,169,73,0,13,242,13,229,229,255,19,Loser,recieves tone,0
817,818,PV Cell,178,60,0,17,238,17,221,221,255,21,Loser,does not recieve tone,0
818,819,PV Cell,174,68,0,23,242,23,219,219,265,12,Loser,recieves tone,0
819,820,PV Cell,179,53,0,18,232,18,214,214,250,13,Loser,recieves tone,0
820,821,PV Cell,163,80,0,17,243,17,226,226,260,22,Loser,recieves tone,0
821,822,PV Cell,179,65,0,21,244,21,223,223,265,19,Loser,does not recieve tone,0
822,823,PV Cell,185,73,0,24,258,24,234,234,282,15,Loser,recieves tone,0
823,824,PV Cell,175,76,0,17,251,17,234,234,268,18,Loser,recieves tone,0
824,825,PV Cell,184,66,0,18,250,18,232,232,268,16,Loser,recieves tone,0
825,826,PV Cell,178,64,0,16,242,16,226,226,258,15,Loser,recieves tone,0
826,827,PV Cell,186,67,0,20,253,20,233,233,273,17,Loser,recieves tone,0
827,828,PV Cell,168,72,0,21,240,21,219,219,261,30,Loser,recieves tone,0
828,829,PV Cell,161,78,0,22,239,22,217,217,261,21,Loser,recieves tone,0
829,830,PV Cell,176,72,0,15,248,15,233,233,263,22,Loser,does not recieve tone,0
830,831,PV Cell,174,73,0,22,247,22,225,225,269,20,Loser,does not recieve tone,0
831,832,PV Cell,157,78,0,18,235,18,217,217,253,17,Loser,recieves tone,0
832,833,PV Cell,161,77,0,22,238,22,216,216,260,16,Loser,recieves tone,0
833,834,PV Cell,174,75,0,22,249,22,227,227,271,20,Loser,does not recieve tone,0
834,835,PV Cell,164,50,0,18,214,18,196,196,232,14,Loser,does not recieve tone,0
835,836,PV Cell,168,68,0,19,236,19,217,217,255,20,Loser,does not recieve tone,0
836,837,PV Cell,173,74,0,18,247,18,229,229,265,24,Loser,recieves tone,0
837,838,PV Cell,169,62,0,25,231,25,206,206,256,18,Loser,recieves tone,0
838,839,PV Cell,170,66,0,16,236,16,220,220,252,15,Loser,recieves tone,0
839,840,PV Cell,169,72,0,15,241,15,226,226,256,25,Loser,does not recieve tone,0
840,841,PV Cell,169,75,0,17,244,17,227,227,261,20,Loser,does not recieve tone,0
841,842,PV Cell,169,74,0,18,243,18,225,225,261,18,Loser,recieves tone,0
842,843,PV Cell,179,75,0,23,254,23,231,231,277,26,Loser,recieves tone,0
843,844,PV Cell,181,79,0,24,260,24,236,236,284,23,Loser,recieves tone,0
844,845,PV Cell,161,73,0,14,234,14,220,220,248,19,Loser,does not recieve tone,0
845,846,PV Cell,144,66,0,20,210,20,190,190,230,18,Loser,recieves tone,0
846,847,PV Cell,182,62,0,11,244,11,233,233,255,23,Loser,does not recieve tone,0
847,848,PV Cell,174,62,0,25,236,25,211,211,261,17,Loser,recieves tone,0
848,849,PV Cell,159,81,0,13,240,13,227,227,253,20,Loser,recieves tone,0
849,850,PV Cell,166,63,0,20,229,20,209,209,249,17,Loser,recieves tone,0
850,851,PV Cell,172,75,0,15,247,15,232,232,262,23,Loser,recieves tone,0
851,852,PV Cell,174,56,0,23,230,23,207,207,253,22,Loser,does not recieve tone,0
852,853,PV Cell,173,79,0,12,252,12,240,240,264,21,Loser,recieves tone,0
853,854,PV Cell,174,74,0,19,248,19,229,229,267,25,Loser,recieves tone,0
854,855,PV Cell,164,66,0,19,230,19,211,211,249,18,Loser,recieves tone,0
855,856,PV Cell,173,77,0,16,250,16,234,234,266,18,Loser,recieves tone,0
856,857,PV Cell,169,69,0,17,238,17,221,221,255,16,Loser,recieves tone,0
857,858,PV Cell,155,79,0,20,234,20,214,214,254,20,Loser,recieves tone,0
858,859,PV Cell,184,68,0,17,252,17,235,235,269,16,Loser,recieves tone,0
859,860,PV Cell,169,72,0,21,241,21,220,220,262,17,Loser,does not recieve tone,0
860,861,PV Cell,188,68,0,11,256,11,245,245,267,17,Loser,does not recieve tone,0
861,862,PV Cell,188,66,0,26,254,26,228,228,280,21,Loser,recieves tone,0
862,863,PV Cell,172,72,0,22,244,22,222,222,266,20,Loser,recieves tone,0
863,864,PV Cell,185,71,0,18,256,18,238,238,274,27,Loser,recieves tone,0
864,865,PV Cell,182,62,0,19,244,19,225,225,263,14,Loser,recieves tone,0
865,866,PV Cell,175,61,0,19,236,19,217,217,255,15,Loser,recieves tone,0
866,867,PV Cell,181,66,0,23,247,23,224,224,270,19,Loser,recieves tone,0
867,868,PV Cell,170,76,0,18,246,18,228,228,264,21,Loser,recieves tone,0
868,869,PV Cell,180,66,0,26,246,26,220,220,272,21,Loser,recieves tone,0
869,870,PV Cell,167,66,0,19,233,19,214,214,252,21,Loser,does not recieve tone,0
870,871,PV Cell,165,69,0,23,234,23,211,211,257,20,Loser,recieves tone,0
871,872,PV Cell,152,96,0,18,248,18,230,230,266,27,Loser,does not recieve tone,0
872,873,PV Cell,167,65,0,18,232,18,214,214,250,19,Loser,does not recieve tone,0
873,874,PV Cell,168,65,0,27,233,27,206,206,260,18,Loser,does not recieve tone,0
874,875,PV Cell,177,84,0,27,261,27,234,234,288,20,Loser,recieves tone,0
875,876,PV Cell,168,75,0,23,243,23,220,220,266,20,Loser,recieves tone,0
876,877,PV Cell,176,79,0,27,255,27,228,228,282,19,Loser,does not recieve tone,0
877,878,PV Cell,186,62,0,21,248,21,227,227,269,18,Loser,recieves tone,0
878,879,PV Cell,148,71,0,28,219,28,191,191,247,22,Loser,recieves tone,0
879,880,PV Cell,176,76,0,22,252,22,230,230,274,20,Loser,recieves tone,0
880,881,PV Cell,180,71,0,25,251,25,226,226,276,30,Loser,recieves tone,0
881,882,PV Cell,153,58,0,16,211,16,195,195,227,10,Loser,recieves tone,0
882,883,PV Cell,162,51,0,20,213,20,193,193,233,16,Loser,recieves tone,0
