timestamps population node_ids
48180 'tone' 0
48200 'tone' 0
48220 'tone' 0
48240 'tone' 0
48260 'tone' 0
48280 'tone' 0
48300 'tone' 0
48320 'tone' 0
48340 'tone' 0
48360 'tone' 0
48380 'tone' 0
48400 'tone' 0
48420 'tone' 0
48440 'tone' 0
48460 'tone' 0
48480 'tone' 0
48500 'tone' 0
52000 'tone' 0
52020 'tone' 0
52040 'tone' 0
52060 'tone' 0
52080 'tone' 0
52100 'tone' 0
52120 'tone' 0
52140 'tone' 0
52160 'tone' 0
52180 'tone' 0
52200 'tone' 0
52220 'tone' 0
52240 'tone' 0
52260 'tone' 0
52280 'tone' 0
52300 'tone' 0
52320 'tone' 0
52340 'tone' 0
52360 'tone' 0
52380 'tone' 0
52400 'tone' 0
52420 'tone' 0
52440 'tone' 0
52460 'tone' 0
52480 'tone' 0
52500 'tone' 0
56000 'tone' 0
56020 'tone' 0
56040 'tone' 0
56060 'tone' 0
56080 'tone' 0
56100 'tone' 0
56120 'tone' 0
56140 'tone' 0
56160 'tone' 0
56180 'tone' 0
56200 'tone' 0
56220 'tone' 0
56240 'tone' 0
56260 'tone' 0
56280 'tone' 0
56300 'tone' 0
56320 'tone' 0
56340 'tone' 0
56360 'tone' 0
56380 'tone' 0
56400 'tone' 0
56420 'tone' 0
56440 'tone' 0
56460 'tone' 0
56480 'tone' 0
56500 'tone' 0
60000 'tone' 0
60020 'tone' 0
60040 'tone' 0
60060 'tone' 0
60080 'tone' 0
60100 'tone' 0
60120 'tone' 0
60140 'tone' 0
60160 'tone' 0
60180 'tone' 0
60200 'tone' 0
60220 'tone' 0
60240 'tone' 0
60260 'tone' 0
60280 'tone' 0
60300 'tone' 0
60320 'tone' 0
60340 'tone' 0
60360 'tone' 0
60380 'tone' 0
60400 'tone' 0
60420 'tone' 0
60440 'tone' 0
60460 'tone' 0
60480 'tone' 0
60500 'tone' 0
64000 'tone' 0
64020 'tone' 0
64040 'tone' 0
64060 'tone' 0
64080 'tone' 0
64100 'tone' 0
64120 'tone' 0
64140 'tone' 0
64160 'tone' 0
64180 'tone' 0
64200 'tone' 0
64220 'tone' 0
64240 'tone' 0
64260 'tone' 0
64280 'tone' 0
64300 'tone' 0
64320 'tone' 0
64340 'tone' 0
64360 'tone' 0
64380 'tone' 0
64400 'tone' 0
64420 'tone' 0
64440 'tone' 0
64460 'tone' 0
64480 'tone' 0
64500 'tone' 0
68000 'tone' 0
68020 'tone' 0
68040 'tone' 0
68060 'tone' 0
68080 'tone' 0
68100 'tone' 0
68120 'tone' 0
68140 'tone' 0
68160 'tone' 0
68180 'tone' 0
68200 'tone' 0
68220 'tone' 0
68240 'tone' 0
68260 'tone' 0
68280 'tone' 0
68300 'tone' 0
68320 'tone' 0
68340 'tone' 0
68360 'tone' 0
68380 'tone' 0
68400 'tone' 0
68420 'tone' 0
68440 'tone' 0
68460 'tone' 0
68480 'tone' 0
68500 'tone' 0
72000 'tone' 0
72020 'tone' 0
72040 'tone' 0
72060 'tone' 0
72080 'tone' 0
72100 'tone' 0
72120 'tone' 0
72140 'tone' 0
72160 'tone' 0
72180 'tone' 0
72200 'tone' 0
72220 'tone' 0
72240 'tone' 0
72260 'tone' 0
72280 'tone' 0
72300 'tone' 0
72320 'tone' 0
72340 'tone' 0
72360 'tone' 0
72380 'tone' 0
72400 'tone' 0
72420 'tone' 0
72440 'tone' 0
72460 'tone' 0
72480 'tone' 0
72500 'tone' 0
76000 'tone' 0
76020 'tone' 0
76040 'tone' 0
76060 'tone' 0
76080 'tone' 0
76100 'tone' 0
76120 'tone' 0
76140 'tone' 0
76160 'tone' 0
76180 'tone' 0
