edge_type_id target_query source_query target_sections distance_range dynamics_params model_template syn_weight
111 "pop_name=='['PyrA', 'PyrC']'" * ['basal'] "[0.0, 9999.9]" VPSI2PN_inh_tyler_min.json bginh 1
112 pop_name=='['PV']' * ['basal'] "[0.0, 9999.9]" VPSI2PV_inh_tyler_min.json bginh 1
