edge_type_id target_query source_query distance_range model_template dynamics_params target_sections syn_weight
111 "pop_name=='['PyrA', 'PyrC']'" * "[0.0, 9999.9]" tone2pyrD tone2PN.json ['apical'] 1
112 pop_name=='['PV']' * "[0.0, 9999.9]" tone2interD tone2INT.json ['basal'] 1
