,Unnamed: 0,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,tone ampa,bg ampa,PN ampa,tone nmda,bg nmda,PN nmda,PV gaba,SOM gaba,Hz
1286,1286,1286,PN Type A Cell,222,96,150,209,318,359,-41,109,677,-192.9232943790943,-140.40521235792585,-0.39394135400256663,-69.38792575548486,-63.05349207312663,-0.1611328837000664,3.9515408349056043,5.612172041279393,0.4
1317,1317,1317,PN Type A Cell,201,65,150,179,266,329,-63,87,595,-129.70824400692814,-87.99723500387623,-0.6822615247454721,-42.45961258509993,-41.392592584896406,-0.2821570780796145,3.8012114140124513,28.341030222781654,0.2
1424,1424,1424,PN Type A Cell,191,69,150,196,260,346,-86,64,606,-121.48095835528117,-83.03825604647854,-2.9993907968522193,-46.95661219810382,-36.118851718228356,-1.1916108010202437,5.265354648884771,0.4879161836572034,
1496,1496,1496,PN Type A Cell,202,60,143,195,262,338,-76,67,600,-65.90414398757125,-95.19174888440158,-0.23614055737200465,-21.813018330386683,-45.91024672243967,-0.0869317823851538,4.103150302925024,0.457590463791605,0.4
1526,1526,1526,PN Type A Cell,187,69,149,205,256,354,-98,51,610,-94.29388836968198,-116.89887697799,-1.046182748183552,-30.123376634245886,-51.04342737753871,-0.4161240769858881,5.038766374055328,0.627926352976461,0.2
1534,1534,1534,PN Type A Cell,219,85,150,186,304,336,-32,118,640,-94.10725142041771,-133.67596778008104,-0.7636919139863921,-37.237612173815755,-58.241039265596285,-0.31962657323920257,4.961416219891928,12.517055017701118,0.2
1567,1567,1567,PN Type A Cell,196,79,152,196,275,348,-73,79,623,-79.54881916315979,-77.66234052805692,-0.5333978794196078,-27.537313626708684,-32.375412896626074,-0.2358125608633267,3.675147490125736,0.21235457011488765,
1586,1586,1586,PN Type A Cell,170,87,146,191,257,337,-80,66,594,-66.16879715466654,-83.00065278941953,-0.41357491995343787,-28.06813080779847,-38.71027696125353,-0.19457861206575033,5.273147480182304,1.8521148864064352,0.4
1610,1610,1610,PN Type A Cell,175,85,138,198,260,336,-76,62,596,-123.52060680443775,-171.47628966693264,-0.4587376927985292,-42.72789622070336,-77.02010581782166,-0.19253826832883797,9.98290390838385,14.167382433800196,0.6
1617,1617,1617,PN Type A Cell,229,78,137,182,307,319,-12,125,626,-104.48994697078335,-128.47825354427164,-1.6313461883523832,-39.04919734621894,-52.96747573251065,-0.6473650058995513,8.818211581669521,13.28292780736512,0.4
